Agency Type,Victim Sex,Victim Age,Victim Ethnicity,Perpetrator Sex,Perpetrator Ethnicity,Weapon Category,Relationship Category,Region,Season
Sheriff,Female,32,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Autumn
Municipal Police,Male,39,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Winter
Municipal Police,Male,22,Not Hispanic,Female,Not Hispanic,Firearm,Stranger,South,Summer
Municipal Police,Female,43,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Summer
Municipal Police,Male,27,Not Hispanic,Female,Not Hispanic,Firearm,Acquaintance,South,Autumn
Sheriff,Male,19,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Winter
Sheriff,Female,24,Not Hispanic,Female,Not Hispanic,Firearm,Acquaintance,South,Spring
Sheriff,Female,43,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Sheriff,Female,38,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,South,Winter
Sheriff,Male,36,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Winter
Sheriff,Male,39,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Autumn
Municipal Police,Male,41,Not Hispanic,Female,Not Hispanic,Non-Firearm,Lover,South,Autumn
Sheriff,Female,21,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,South,Summer
Municipal Police,Male,22,Not Hispanic,Female,Not Hispanic,Firearm,Family,South,Autumn
Municipal Police,Male,52,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Winter
Sheriff,Male,27,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Spring
Sheriff,Female,1,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,South,Spring
Sheriff,Female,40,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Summer
Sheriff,Male,42,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Municipal Police,Male,65,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Winter
Municipal Police,Female,38,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Autumn
